display_symbol,team_name,fair_value
UConn,UConn,11.16
Duke,Duke,18.0
Michigan St,Michigan St,10.440000000000001
Arizona,Arizona,20.28
Michigan,Michigan,21.279999999999998
Texas Tech,Texas Tech,2.0
Florida,Florida,2.0
Purdue,Purdue,14.36
Ohio St,Ohio St,0.0
Tennessee,Tennessee,7.96
UCLA,UCLA,2.0
Alabama,Alabama,8.56
Kentucky,Kentucky,2.0
Houston,Houston,13.68
Illinois,Illinois,10.64
Texas,Texas,5.720000000000001
Arkansas,Arkansas,8.92
Gonzaga,Gonzaga,2.0
Iowa,Iowa,7.16
St Johns,St Johns,9.76
Prairie View,Prairie View,0.0
Texas A&M,Texas A&M,2.0
Utah St,Utah St,2.0
TCU,TCU,2.0
Saint Louis,Saint Louis,2.0
Furman,Furman,0.0
Howard,Howard,0.0
Lehigh,Lehigh,0.0
Cal Baptist,Cal Baptist,0.0
Clemson,Clemson,0.0
Hawaii,Hawaii,0.0
High Point,High Point,2.0
Hofstra,Hofstra,0.0
Iowa St,Iowa St,11.0
Kennesaw St,Kennesaw St,0.0
McNeese,McNeese,0.0
Miami FL,Miami FL,2.0
Miami OH,Miami OH,0.0
Missouri,Missouri,0.0
NC State,NC State,0.0
Northern Iowa,Northern Iowa,0.0
SMU,SMU,0.0
Saint Marys,Saint Marys,0.0
Santa Clara,Santa Clara,0.0
South Florida,South Florida,0.0
Troy,Troy,0.0
UCF,UCF,0.0
UMBC,UMBC,0.0
VCU,VCU,2.0
Vanderbilt,Vanderbilt,2.0
Villanova,Villanova,0.0
Virginia,Virginia,2.0
Wright St,Wright St,0.0
Kansas,Kansas,2.0
Penn,Penn,0.0
North Dakota St,North Dakota St,0.0
Idaho,Idaho,0.0
Tennessee St,Tennessee St,0.0
Akron,Akron,0.0
BYU,BYU,0.0
Long Island,Long Island,0.0
Nebraska,Nebraska,12.760000000000002
North Carolina,North Carolina,0.0
Queens,Queens,0.0
Siena,Siena,0.0
Wisconsin,Wisconsin,0.0
Louisville,Louisville,2.0
Georgia,Georgia,0.0
